id,rent,address,educationIndex
17200054,540.0,"100 Hope Street GEELONG WEST,VIC 3218",3.6035369014321175
17199839,520.0,"57 Cameron Crescent LARA,VIC 3212",3.4457616499020696
15934822,500.0,"10 Solitaire Way WALLAN,VIC 3756",2.0299875521208115
17199316,530.0,"1 Lindsay Place BACCHUS MARSH,VIC 3340",3.381433502285528
17199160,460.0,"7 Dogherty Court BACCHUS MARSH,VIC 3340",3.1474517205717696
17199074,175.0,"25 Pakington Street KEW,VIC 3101",3.954389984542244
17198924,510.0,"27 Italianate Street CHARLEMONT,VIC 3217",3.1042460070312288
17198774,500.0,"32 Revelstoke Way WINTER VALLEY,VIC 3358",3.289164239148902
17198671,410.0,"22 First Street LONGWARRY,VIC 3816",1.2290562287858513
17198056,360.0,"2 Glasgow Street WENDOUREE,VIC 3355",3.481088544130544
15818267,650.0,"65 Capel St WEST MELBOURNE,VIC 3003",3.8124316181609323
17198015,495.0,"25 DEVON STREET HAMLYN HEIGHTS,VIC 3215",3.58514540391998
17197682,370.0,"255 Albert Street SEBASTOPOL,VIC 3356",3.4203714299989425
16188034,360.0,"19 Ivanhoe Street WENDOUREE,VIC 3355",3.558543790487267
17197427,430.0,"12 Bowenvale Street EYNESBURY,VIC 3338",1.1525494194646708
17197409,530.0,"15 Anthony Street DANDENONG NORTH,VIC 3175",3.5575916420111664
15968265,320.0,"23 Talbot Street South BALLARAT CENTRAL,VIC 3350",3.6713385343588505
17197123,480.0,"83 Verdale Drive ALFREDTON,VIC 3350",3.3255739038616445
17196398,601.0202088452088,"21A Peel St KEW,VIC 3101",4.015603837623269
17196284,460.0,"56 Moolort Crescent EYNESBURY,VIC 3338",1.1497414394975776
17196204,580.0,"201A/127 Nicholson Street BRUNSWICK EAST,VIC 3057",3.6619249410722325
17196107,530.0,"13 Elphinstone Street WEST FOOTSCRAY,VIC 3012",3.609096724109225
17196102,470.0,"7 Baringhup Street EYNESBURY,VIC 3338",1.1536117538420934
17195907,720.0,"9 Palagia Court SOMERVILLE,VIC 3912",3.355483320433688
17195660,460.0,"29 Butcherbird Parade WINTER VALLEY,VIC 3358",3.2113233119313116
17195370,410.0,"17 Rebellion Place BALLARAT EAST,VIC 3350",3.4236120960279157
17195170,410.0,"16 Lovenear Grove BALLARAT EAST,VIC 3350",3.417685400080419
17194974,470.0,"31 St Albans Road EAST GEELONG,VIC 3219",3.6008315781144726
17194964,460.0,"54 Labilliere Street MADDINGLEY,VIC 3340",3.475955128389592
17194667,450.0,"20 Rivulet Road BONSHAW,VIC 3352",3.402295298130949
17194479,550.0,"52 Banks Road ELTHAM NORTH,VIC 3095",3.525410659731109
17194258,480.0,"4 Goldsborough Street BONSHAW,VIC 3352",3.420893442156731
17194017,490.0,"16 Smilax Street WALLAN,VIC 3756",1.9925355033866456
17193965,580.0,"20 Kosa Avenue SUNSHINE WEST,VIC 3020",3.4980961452484194
17193710,530.0,"102 Lexton Street BALLARAT CENTRAL,VIC 3350",3.5321485840896836
16083947,520.0,"85 Wittick Street DARLEY,VIC 3340",3.279544656182357
16993071,470.0,"34 Moolort Crescent EYNESBURY,VIC 3338",1.154515756869528
17193322,390.0,"222 Victoria Street BALLARAT EAST,VIC 3350",3.4389257299636373
15744433,500.0,"3 Sandridge Way WALLAN,VIC 3756",2.056233084591146
17193130,700.0,"13 The Crescent FOOTSCRAY,VIC 3011",3.57759057116455
17193118,470.0,"49 Mitiamo Street EYNESBURY,VIC 3338",1.1541647037139735
17192912,470.0,"29 Cobram Drive EYNESBURY,VIC 3338",1.1629135577503393
17191969,850.0,"39 Napoleon Street WEST FOOTSCRAY,VIC 3012",3.656275510129271
17191940,450.0,"32 Marxsen Parade LUCAS,VIC 3350",3.308496784072586
17191843,430.0,"341 Vickers Street SEBASTOPOL,VIC 3356",3.5162703118650933
15880861,600.0,"21 The Crescent FERNTREE GULLY,VIC 3156",3.790552097773423
17191535,400.0,"64 Vale Street SEBASTOPOL,VIC 3356",3.4535996586614957
17190953,410.0,"119 Bluff Road ST LEONARDS,VIC 3223",1.3141167422979247
16065676,420.0,"16 O'Callaghan Parade LUCAS,VIC 3350",3.33071905215645
17190632,650.0,"27 Adeney Street YARRAVILLE,VIC 3013",3.4874773269699046
17190493,550.0,"222 Melbourne Road RYE,VIC 3941",1.1722405457580187
17190123,470.0,"23 Amphitheatre Street EYNESBURY,VIC 3338",1.1201592739662578
