rent,suburb_encoded,bedroom,bathroom,parking,propertyType_Apartment,propertyType_Block of Units,propertyType_Duplex,propertyType_House,propertyType_Semi-Detached,propertyType_Terrace,propertyType_Townhouse,propertyType_Villa,under 20,20-39,40-59,60+,Owner,Renter,Single,propertyFeatures_encoded,doc2vec_embedding_1,doc2vec_embedding_2,doc2vec_embedding_4,doc2vec_embedding_5,doc2vec_embedding_6,doc2vec_embedding_7,doc2vec_embedding_9,educationIndex,transportIndex,lifeIndex
430.0,415.38461538461536,3.0,1.0,2.0,0,0,0,1,0,0,0,0,23,24,27,26,76,24,53,0.7567114727758806,0.21928763,0.147784,-0.022604913,-0.098869585,0.78083086,0.09776825,0.06913936,3.447113993487661,2.8052814899907403,3.3099832215767204
400.0,449.2692307692308,3.0,1.0,1.0,0,0,0,1,0,0,0,0,20,24,24,32,66,34,55,1.2256030808226257,-1.011404,-0.04586041,0.0765228,0.41893607,-0.6188026,-0.38204393,0.19393107,3.4392607775993493,2.7398797803089163,3.2952927995243417
420.0,494.5344076320639,3.0,2.0,1.0,0,0,0,1,0,0,0,0,26,26,19,29,85,15,44,1.1470106619015197,-0.2780481,-0.11080003,0.010389239,0.29892176,0.4076958,0.122716546,0.60636693,3.112645686104156,2.939222912588802,3.6769469249102986
601.0202088452088,654.9562302562302,4.0,3.0,2.0,0,0,0,1,0,0,0,0,36,16,30,18,72,28,31,2.403229079213048,0.6433052,0.118554235,-0.2420136,0.46615684,1.3325986,-0.0489704,0.03610736,3.809204374916338,3.830267933335021,3.931569759056536
450.0,449.2692307692308,3.0,2.0,2.0,0,0,0,1,0,0,0,0,22,31,25,23,58,42,61,2.0405424769932146,0.32510412,0.029109478,-0.6101824,-1.0318803,-0.1938465,-0.41033867,0.53585017,3.477193746377458,2.7263061464167686,3.311399888644127
400.0,434.5940728190728,3.0,1.0,1.0,0,0,0,1,0,0,0,0,24,31,29,16,63,37,50,0.835538288608747,0.5353658,1.5410168,0.3905935,-1.1320584,0.6212926,0.34754285,0.105947256,3.502634003659068,2.793581898241854,2.726735186957053
640.0,696.4285714285714,3.0,2.0,4.0,0,0,0,1,0,0,0,0,21,24,26,29,75,25,34,1.9213148243790092,0.01824665,0.046448946,-0.49103823,-0.2860009,0.112351954,-0.16444191,0.3088802,3.608119787325661,4.9170782457033,3.63741278954578
920.0,630.4411764705883,4.0,1.0,4.0,0,0,0,1,0,0,0,0,22,34,24,20,61,39,50,1.7671568172917087,-0.5692129,-0.39658856,-0.5459733,0.43606997,0.9445586,-0.25903133,-0.4102403,3.534950847868754,3.83493508464113,3.6737846251188304
550.0,562.1561066083793,4.0,2.0,2.0,0,0,0,1,0,0,0,0,33,35,28,4,58,42,32,0.1553337336399029,0.98185134,0.23397923,0.8705026,-0.582952,0.26691625,1.1424934,0.0508506,3.1627329721731385,3.134386843926684,3.518699847521943
750.0,665.7142857142857,3.0,1.0,2.0,0,0,0,1,0,0,0,0,30,20,28,22,76,24,36,0.5944280307031083,-0.15356457,0.8826659,0.063495964,0.5572551,-0.17185839,-0.1738896,0.5773623,3.580329225704408,3.787835348078627,3.9239013304649992
